uni,t,n,value
ssp1,19,rcam,69.44048317603568
ssp1,19,rcz,7.228669235786096
ssp1,19,rfa,71.86624659061576
ssp1,19,ris,93.12951243047561
ssp1,19,rjan57,20.13742096576548
ssp1,19,rom,7.175703290158926
ssp1,19,rsaf,1509.732140141504
ssp1,19,rsam,142.55067042870684
ssp1,19,rsas,504.98447489797377
ssp1,19,rsl,3.146123650394629
ssp1,19,rus,121.54565045767347
ssp1,19,slo,1.7915102153349336
ssp1,19,sui,9.382437537650448
ssp1,19,swe,12.344092846484454
ssp1,19,tha,46.371549918620936
ssp1,19,tur,77.58516662477452
ssp1,19,ukr,27.96821156253735
ssp1,19,usa,387.94946863639444
ssp1,19,vnm,72.15596477039801
ssp1,19,zaf,60.53088239888308
ssp1,2,arg,45.38
ssp1,2,aus,25.66
ssp1,2,aut,8.92
ssp1,2,bel,11.54
ssp1,2,bgr,6.93
ssp1,2,blt,6.02
ssp1,2,bra,213.2
ssp1,2,can,38.04
ssp1,2,chl,19.3
ssp1,2,chn,1411.1
ssp1,2,cor,51.84
ssp1,2,cro,4.05
ssp1,2,dnk,5.83
ssp1,2,egy,107.47
ssp1,2,esp,47.37
ssp1,2,fin,5.53
ssp1,2,fra,67.57
ssp1,2,gbr,67.08
ssp1,2,golf57,220.56
ssp1,2,grc,10.7
ssp1,2,hun,9.75
ssp1,2,idn,271.86
ssp1,2,irl,4.99
ssp1,2,ita,59.44
ssp1,2,jpn,126.26
ssp1,2,meme,51.379999999999995
ssp1,2,mex,126.0
ssp1,2,mys,33.2
ssp1,2,nde,1396.39
ssp1,2,nld,17.44
ssp1,2,noan,48.849999999999994
ssp1,2,noap,50.1
ssp1,2,nor,5.38
ssp1,2,oeu,20.879999999999995
ssp1,2,osea,232.78000000000003
ssp1,2,pol,37.9
ssp1,2,prt,10.3
ssp1,2,rcam,93.00000000000001
ssp1,2,rcz,10.7
ssp1,2,rfa,83.16
ssp1,2,ris,104.0
ssp1,2,rjan57,19.540000000000003
ssp1,2,rom,19.27
ssp1,2,rsaf,1093.6000000000004
ssp1,2,rsam,153.71
ssp1,2,rsas,486.14
ssp1,2,rsl,5.46
ssp1,2,rus,144.07
ssp1,2,slo,2.1
ssp1,2,sui,8.64
ssp1,2,swe,10.35
ssp1,2,tha,71.48
ssp1,2,tur,84.14
ssp1,2,ukr,44.13
ssp1,2,usa,331.5
ssp1,2,vnm,96.65
ssp1,2,zaf,58.8
ssp1,20,arg,49.52788932003084
ssp1,20,aus,36.53795637031773
ssp1,20,aut,8.6594466168393
ssp1,20,bel,11.660267627367109
ssp1,20,bgr,2.4555110022053657
ssp1,20,blt,3.642825814628221
ssp1,20,bra,157.51026432549943
ssp1,20,can,47.625525246013936
ssp1,20,chl,15.80950402449629
ssp1,20,chn,717.0010151954759
ssp1,20,cor,26.50699464459063
ssp1,20,cro,2.441596521289138
ssp1,20,dnk,5.984497436751734
ssp1,20,egy,148.5887848941461
ssp1,20,esp,40.81629827736857
ssp1,20,fin,4.736042766382031
ssp1,20,fra,70.66137265849832
ssp1,20,gbr,67.52657215792945
ssp1,20,golf57,248.46201413528541
ssp1,20,grc,8.242224905332055
ssp1,20,hun,5.761007141954739
ssp1,20,idn,236.92310312566593
ssp1,20,irl,4.883230225204154
ssp1,20,ita,41.50256534873959
ssp1,20,jpn,64.2597687687848
ssp1,20,meme,65.06967464049865
ssp1,20,mex,106.92701937885086
ssp1,20,mys,43.301800090330595
ssp1,20,nde,1281.7085952187676
ssp1,20,nld,16.142669878523392
ssp1,20,noan,38.716967048371195
ssp1,20,noap,53.124382518935306
ssp1,20,nor,6.362675185937734
ssp1,20,oeu,10.295259870780571
ssp1,20,osea,204.36330958919305
ssp1,20,pol,19.305494105670792
ssp1,20,prt,5.783635253791396
ssp1,20,rcam,66.5772267298799
ssp1,20,rcz,7.052082467702789
ssp1,20,rfa,71.30835263766105
ssp1,20,ris,90.56957102607461
ssp1,20,rjan57,19.615622469520865
ssp1,20,rom,6.721060003096841
ssp1,20,rsaf,1476.8032034075877
ssp1,20,rsam,138.79053197898205
ssp1,20,rsas,490.2306339854134
ssp1,20,rsl,3.015780502865174
ssp1,20,rus,120.83541148349376
ssp1,20,slo,1.7741725158315147
ssp1,20,sui,9.226479433160547
ssp1,20,swe,12.35745922416216
ssp1,20,tha,44.93426394450458
ssp1,20,tur,75.77873403439978
ssp1,20,ukr,27.510357556668776
ssp1,20,usa,387.958439142447
