uni,t,n,value
ssp1,10,rom,0.3442174048099385
ssp1,10,rsaf,13.002865672850712
ssp1,10,rsam,4.440359002076695
ssp1,10,rsas,4.311686879846187
ssp1,10,rsl,0.15613358408639777
ssp1,10,rus,3.424982465511556
ssp1,10,slo,0.07602803580377605
ssp1,10,sui,1.0423072114147178
ssp1,10,swe,0.8572773342370268
ssp1,10,tha,1.285029690916994
ssp1,10,tur,2.0332187783416393
ssp1,10,ukr,0.3532543143093022
ssp1,10,usa,30.6865989843917
ssp1,10,vnm,1.0882955484733785
ssp1,10,zaf,1.2597107982601747
ssp1,11,arg,2.033132505397195
ssp1,11,aus,2.9604270296266946
ssp1,11,aut,0.6074308536128973
ssp1,11,bel,0.7750988068009341
ssp1,11,bgr,0.10619337477867996
ssp1,11,blt,0.16038513232349258
ssp1,11,bra,6.3774023745486454
ssp1,11,can,2.6515906888987457
ssp1,11,chl,0.7598754984378391
ssp1,11,chn,45.20675878360302
ssp1,11,cor,2.8361492413431266
ssp1,11,cro,0.07725023770581495
ssp1,11,dnk,0.46571284587305184
ssp1,11,egy,1.5356098623105006
ssp1,11,esp,1.8011358479551216
ssp1,11,fin,0.3581743649752011
ssp1,11,fra,4.314767190904408
ssp1,11,gbr,4.5248383425591365
ssp1,11,golf57,5.1755077473017055
ssp1,11,grc,0.3950452138457668
ssp1,11,hun,0.2232052902087227
ssp1,11,idn,5.3358524382097645
ssp1,11,irl,0.4599535149208426
ssp1,11,ita,2.4893196908770943
ssp1,11,jpn,6.050896964804438
ssp1,11,meme,2.786106441735609
ssp1,11,mex,3.623830727934959
ssp1,11,mys,1.0803692094115178
ssp1,11,nde,18.475235149477616
ssp1,11,nld,1.1979066312244806
ssp1,11,noan,0.9141551621366634
ssp1,11,noap,0.7126517535967754
ssp1,11,nor,0.595728716906799
ssp1,11,oeu,0.3683275787195931
ssp1,11,osea,3.3753856022408497
ssp1,11,pol,0.8051568987281313
ssp1,11,prt,0.2798222565413965
ssp1,11,rcam,2.017608213688233
ssp1,11,rcz,0.3950360146992845
ssp1,11,rfa,4.79812910847025
ssp1,11,ris,1.327611358218841
ssp1,11,rjan57,0.859711194538601
ssp1,11,rom,0.34534613714484286
ssp1,11,rsaf,16.33466811863728
ssp1,11,rsam,4.936971607342049
ssp1,11,rsas,5.052156880278242
ssp1,11,rsl,0.16127471266178522
ssp1,11,rus,3.57946217866943
ssp1,11,slo,0.0789854632672946
ssp1,11,sui,1.0970241440626316
ssp1,11,swe,0.908910984593094
ssp1,11,tha,1.3828250308889267
ssp1,11,tur,2.1473858427144568
ssp1,11,ukr,0.38260998706161947
ssp1,11,usa,32.06240480752883
ssp1,11,vnm,1.1927720806151587
ssp1,11,zaf,1.3952554450248391
ssp1,12,arg,2.1926302080779125
ssp1,12,aus,3.205624291326723
ssp1,12,aut,0.6350589629262353
ssp1,12,bel,0.8112485177175037
ssp1,12,bgr,0.10533570270376062
ssp1,12,blt,0.16389265017612847
ssp1,12,bra,6.903367033635512
