uni,t,n,value
ssp1,12,rcam,0.31619584936666856
ssp1,12,rcz,0.05778763825047804
ssp1,12,rfa,0.5362725631853146
ssp1,12,ris,0.49747091212155553
ssp1,12,rjan57,0.034268068348777686
ssp1,12,rom,0.04280295850422593
ssp1,12,rsaf,3.470772118355236
ssp1,12,rsam,0.5568967159963363
ssp1,12,rsas,1.6345135669072084
ssp1,12,rsl,0.007237362443240337
ssp1,12,rus,1.3733412665410982
ssp1,12,slo,0.0038856913144109497
ssp1,12,sui,0.051090654905013445
ssp1,12,swe,0.04443984030789819
ssp1,12,tha,0.2162236691826085
ssp1,12,tur,0.38798997023449294
ssp1,12,ukr,0.267412264840014
ssp1,12,usa,3.4690678678557103
ssp1,12,vnm,0.7849045174465971
ssp1,12,zaf,0.4374166493793717
ssp1,13,arg,0.1532295685418379
ssp1,13,aus,0.2436481820392159
ssp1,13,aut,0.04566714492812897
ssp1,13,bel,0.04093519728132364
ssp1,13,bgr,0.012892765171146698
ssp1,13,blt,0.022907262925971974
ssp1,13,bra,0.5962404109157691
ssp1,13,can,0.34890590845067954
ssp1,13,chl,0.07674720840059315
ssp1,13,chn,4.715537962790162
ssp1,13,cor,0.3564578771260635
ssp1,13,cro,0.00827483386849551
ssp1,13,dnk,0.03553536667757265
ssp1,13,egy,0.5623032140339833
ssp1,13,esp,0.247653017794728
ssp1,13,fin,0.03572725362083517
ssp1,13,fra,0.4592499470403566
ssp1,13,gbr,0.2759795422339319
ssp1,13,golf57,2.1898040503483123
ssp1,13,grc,0.023884249332262728
ssp1,13,hun,0.02361779172530229
ssp1,13,idn,1.33008586033727
ssp1,13,irl,0.03907363087915588
ssp1,13,ita,0.2660086939218209
ssp1,13,jpn,0.7713784189276807
ssp1,13,meme,0.23026071945352836
ssp1,13,mex,0.44112304775434835
ssp1,13,mys,0.28657415517086876
ssp1,13,nde,5.904135507404751
ssp1,13,nld,0.13501938083449808
ssp1,13,noan,0.11221971064859478
ssp1,13,noap,0.16542095022695563
ssp1,13,nor,0.0642328567831198
ssp1,13,oeu,0.13717289256606294
ssp1,13,osea,0.5591931805810599
ssp1,13,pol,0.1642947900825694
ssp1,13,prt,0.027062142013437113
ssp1,13,rcam,0.31919665470629865
ssp1,13,rcz,0.052220134506185574
ssp1,13,rfa,0.5161687951097467
ssp1,13,ris,0.46073883171057123
ssp1,13,rjan57,0.027653979076234316
ssp1,13,rom,0.037274914912305536
ssp1,13,rsaf,3.89761728870915
ssp1,13,rsam,0.548216858459103
ssp1,13,rsas,1.7625705048611116
ssp1,13,rsl,0.004886149369446058
ssp1,13,rus,1.2519391148225443
ssp1,13,slo,0.002760082409930234
ssp1,13,sui,0.05150602332558889
ssp1,13,swe,0.044104985259716005
ssp1,13,tha,0.19685226450637852
ssp1,13,tur,0.36127769648047325
ssp1,13,ukr,0.2510498304488115
ssp1,13,usa,3.24864509298151
ssp1,13,vnm,0.7874520745375279
ssp1,13,zaf,0.4068604976633278
ssp1,14,arg,0.14113523220605972
ssp1,14,aus,0.2269003140372044
ssp1,14,aut,0.04065445329436335
ssp1,14,bel,0.029905835683720745
ssp1,14,bgr,0.01053865836584282
ssp1,14,blt,0.021166334354739958
ssp1,14,bra,0.5718393532631105
ssp1,14,can,0.33532092354526893
ssp1,14,chl,0.07098525437391966
ssp1,14,chn,3.8884372039131407
ssp1,14,cor,0.3210397296605275
ssp1,14,cro,0.007421937519248138
ssp1,14,dnk,0.035111673796987514
